,OrderNumber,OrderDate,CustomerNameIndex,Channel,CurrencyCode,WarehouseCode,DeliveryRegionIndex,ProductDescriptionIndex,OrderQuantity,UnitPrice,LineTotal,TotalUnitCost
632,SO - 000733,41864,11,Export,USD,AXW291,28,9,7,1072.0,7504.0,836.16
633,SO - 000734,41865,166,Export,USD,NXH382,50,7,5,2458.9,12294.5,2090.065
634,SO - 000735,41865,82,Export,USD,AXW291,29,13,8,1809.0,14472.0,1013.04
635,SO - 000736,41865,99,Wholesale,USD,NXH382,48,11,10,1728.6,17286.0,1158.162
636,SO - 000737,41865,129,Wholesale,USD,GUT930,34,14,5,3718.5,18592.5,2677.32
637,SO - 000738,41865,93,Wholesale,USD,AXW291,12,3,11,180.9,1989.9,150.147
638,SO - 000739,41865,28,Distributor,USD,AXW291,19,12,12,3939.6,47275.2,3269.868
639,SO - 000740,41865,80,Distributor,USD,AXW291,6,10,6,1869.3,11215.8,1196.352
640,SO - 000741,41865,81,Wholesale,USD,FLR025,65,14,9,864.3,7778.7,691.44
641,SO - 000742,41865,74,Wholesale,USD,AXW291,19,13,6,1098.8,6592.8,835.088
642,SO - 000743,41865,96,Wholesale,USD,GUT930,41,12,7,3845.8,26920.6,2730.518
643,SO - 000744,41865,60,Export,USD,AXW291,21,12,9,5246.1,47214.9,3882.114
644,SO - 000745,41865,149,Export,USD,NXH382,57,8,6,763.8,4582.8,404.814
645,SO - 000746,41866,58,Export,USD,AXW291,22,12,11,3819.0,42009.0,2673.3
646,SO - 000747,41866,144,Distributor,USD,NXH382,53,9,9,2425.4,21828.6,2013.082
647,SO - 000748,41866,134,Wholesale,USD,AXW291,12,3,7,1319.9,9239.3,884.333
648,SO - 000749,41866,21,Distributor,USD,AXW291,20,5,5,1125.6,5628.0,529.032
649,SO - 000750,41866,35,Distributor,USD,AXW291,5,8,11,6318.1,69499.1,2590.421
650,SO - 000751,41866,82,Export,USD,GUT930,33,14,5,3242.8,16214.0,1459.26
651,SO - 000752,41866,53,Distributor,USD,AXW291,30,13,6,1936.3,11617.8,1142.417
652,SO - 000753,41866,56,Wholesale,USD,GUT930,40,6,8,3946.3,31570.4,3038.651
653,SO - 000754,41866,70,Wholesale,USD,AXW291,2,15,7,1078.7,7550.9,442.267
654,SO - 000755,41867,121,Wholesale,USD,AXW291,22,8,8,5587.8,44702.4,3967.338
655,SO - 000756,41867,72,Wholesale,USD,AXW291,9,15,12,3108.8,37305.6,1896.368
656,SO - 000757,41867,157,Distributor,USD,AXW291,22,7,5,871.0,4355.0,661.96
657,SO - 000758,41867,32,Distributor,USD,NXH382,51,12,12,1815.7,21788.4,1543.345
658,SO - 000759,41867,7,Wholesale,USD,GUT930,42,5,10,984.9,9849.0,541.695
659,SO - 000760,41867,90,Distributor,USD,FLR025,64,2,11,3926.2,43188.2,1727.528
660,SO - 000761,41868,74,Wholesale,USD,NXH382,55,14,10,234.5,2345.0,126.63
661,SO - 000762,41868,69,Wholesale,USD,GUT930,37,9,7,2552.7,17868.9,1429.512
662,SO - 000763,41868,53,Wholesale,USD,GUT930,41,13,5,857.6,4288.0,591.744
663,SO - 000764,41868,51,Distributor,USD,AXW291,13,13,11,1065.3,11718.3,553.956
664,SO - 000765,41868,109,Distributor,USD,FLR025,60,12,10,1976.5,19765.0,1581.2
665,SO - 000766,41868,72,Distributor,USD,AXW291,22,14,12,3839.1,46069.2,2725.761
666,SO - 000767,41868,114,Wholesale,USD,GUT930,40,1,9,3899.4,35094.6,2807.568
667,SO - 000768,41868,55,Wholesale,USD,GUT930,40,13,8,180.9,1447.2,85.023
668,SO - 000769,41868,113,Wholesale,USD,NXH382,51,4,10,1226.1,12261.0,588.528
669,SO - 000770,41868,63,Export,USD,NXH382,48,5,10,783.9,7839.0,313.56
670,SO - 000771,41869,3,Distributor,USD,GUT930,46,1,5,978.2,4891.0,489.1
671,SO - 000772,41869,143,Wholesale,USD,NXH382,51,14,10,3169.1,31691.0,1616.241
672,SO - 000773,41869,99,Distributor,USD,AXW291,18,15,12,3055.2,36662.4,1497.048
673,SO - 000774,41869,98,Wholesale,USD,GUT930,37,4,12,2606.3,31275.6,1563.78
674,SO - 000775,41869,133,Export,USD,GUT930,34,9,8,1045.2,8361.6,794.352
675,SO - 000776,41869,142,Distributor,USD,GUT930,38,6,7,1909.5,13366.5,1069.32
676,SO - 000777,41869,30,Wholesale,USD,AXW291,19,4,10,984.9,9849.0,689.43
677,SO - 000778,41869,41,Export,USD,AXW291,28,4,5,1165.8,5829.0,944.298
678,SO - 000779,41869,92,Export,USD,AXW291,24,2,8,1748.7,13989.6,944.298
679,SO - 000780,41869,70,Export,USD,FLR025,65,10,5,3819.0,19095.0,2024.07
680,SO - 000781,41869,168,Wholesale,USD,GUT930,35,9,11,1145.7,12602.7,744.705
681,SO - 000782,41869,79,Wholesale,USD,GUT930,39,13,10,3644.8,36448.0,1968.192
682,SO - 000783,41869,73,Wholesale,USD,AXW291,31,2,11,3865.9,42524.9,3092.72
683,SO - 000784,41869,64,Export,USD,AXW291,3,4,11,194.3,2137.3,110.751
684,SO - 000785,41870,70,Wholesale,USD,AXW291,25,10,8,3363.4,26907.2,1681.7
685,SO - 000786,41870,59,Wholesale,USD,AXW291,10,7,11,3008.3,33091.3,2406.64
686,SO - 000787,41870,62,Export,USD,GUT930,44,5,5,3055.2,15276.0,2230.296
687,SO - 000788,41870,173,Wholesale,USD,AXW291,11,13,11,1031.8,11349.8,629.398
688,SO - 000789,41870,83,Wholesale,USD,AXW291,14,5,9,3939.6,35456.4,2127.384
689,SO - 000790,41870,94,Distributor,USD,AXW291,25,15,12,3886.0,46632.0,2720.2
690,SO - 000791,41870,130,Export,USD,AXW291,7,6,5,3108.8,15544.0,1896.368
691,SO - 000792,41870,22,Distributor,USD,GUT930,41,12,9,1011.7,9105.3,505.85
692,SO - 000793,41870,73,Wholesale,USD,NXH382,47,13,7,2552.7,17868.9,1327.404
693,SO - 000794,41870,157,Distributor,USD,AXW291,30,10,6,1675.0,10050.0,954.75
694,SO - 000795,41871,61,Wholesale,USD,AXW291,28,6,7,1139.0,7973.0,831.47
695,SO - 000796,41871,95,Distributor,USD,AXW291,23,9,5,6338.2,31691.0,3802.92
696,SO - 000797,41871,131,Wholesale,USD,NXH382,47,10,5,2231.1,11155.5,1874.124
697,SO - 000798,41871,74,Wholesale,USD,AXW291,15,9,10,2311.5,23115.0,1525.59
698,SO - 000799,41871,76,Wholesale,USD,AXW291,3,1,11,3832.4,42156.4,2835.976
699,SO - 000800,41871,85,Wholesale,USD,NXH382,59,13,6,1005.0,6030.0,793.95
700,SO - 000801,41871,92,Wholesale,USD,AXW291,3,1,5,1065.3,5326.5,671.139
701,SO - 000802,41871,89,Wholesale,USD,AXW291,31,3,12,1889.4,22672.8,1454.838
702,SO - 000803,41872,31,Distributor,USD,NXH382,49,5,9,167.5,1507.5,108.875
703,SO - 000804,41872,92,Distributor,USD,NXH382,50,7,7,6030.0,42210.0,2472.3
704,SO - 000805,41872,153,Export,USD,NXH382,55,7,6,837.5,5025.0,527.625
705,SO - 000806,41872,62,Wholesale,USD,AXW291,14,13,10,1782.2,17822.0,1051.498
706,SO - 000807,41872,48,Wholesale,USD,GUT930,31,1,7,998.3,6988.1,439.252
707,SO - 000808,41872,107,Wholesale,USD,NXH382,58,14,10,3999.9,39999.0,2679.933
708,SO - 000809,41873,127,Distributor,USD,NXH382,55,4,8,1896.1,15168.8,1118.699
709,SO - 000810,41873,119,Wholesale,USD,AXW291,28,1,12,1038.5,12462.0,477.71
710,SO - 000811,41873,149,Distributor,USD,AXW291,31,12,11,3839.1,42230.1,3071.28
711,SO - 000812,41873,74,Wholesale,USD,AXW291,24,1,10,743.7,7437.0,535.464
712,SO - 000813,41873,154,Wholesale,USD,AXW291,17,3,8,2445.5,19564.0,1100.475
713,SO - 000814,41873,123,Wholesale,USD,NXH382,54,11,11,2613.0,28743.0,1463.28
714,SO - 000815,41873,107,Distributor,USD,GUT930,36,4,11,187.6,2063.6,127.568
715,SO - 000816,41873,164,Wholesale,USD,GUT930,36,13,11,5494.0,60434.0,3845.8
716,SO - 000817,41873,39,Distributor,USD,GUT930,42,4,9,5782.1,52038.9,4625.68
717,SO - 000818,41873,52,Distributor,USD,AXW291,6,4,8,3872.6,30980.8,2052.478
718,SO - 000819,41874,36,Export,USD,NXH382,47,8,9,6445.4,58008.6,3544.97
719,SO - 000820,41874,43,Distributor,USD,AXW291,18,10,7,227.8,1594.6,93.398
720,SO - 000821,41874,47,Distributor,USD,AXW291,4,10,9,247.9,2231.1,151.219
721,SO - 000822,41874,86,Distributor,USD,AXW291,19,2,5,1031.8,5159.0,763.532
722,SO - 000823,41874,156,Distributor,USD,FLR025,64,15,11,2237.8,24615.8,1499.326
723,SO - 000824,41874,115,Wholesale,USD,AXW291,22,6,11,1179.2,12971.2,825.44
724,SO - 000825,41874,160,Distributor,USD,GUT930,43,6,12,2378.5,28542.0,1546.025
725,SO - 000826,41874,25,Export,USD,AXW291,24,1,12,1025.1,12301.2,768.825
726,SO - 000827,41874,70,Export,USD,AXW291,25,14,5,1802.3,9011.5,720.92
727,SO - 000828,41874,1,Wholesale,USD,AXW291,22,8,5,1916.2,9581.0,1015.586
728,SO - 000829,41875,83,Distributor,USD,AXW291,15,7,8,3021.7,24173.6,1661.935
729,SO - 000830,41875,156,Wholesale,USD,AXW291,15,14,6,2251.2,13507.2,1710.912
730,SO - 000831,41875,20,Wholesale,USD,AXW291,28,4,8,2619.7,20957.6,1074.077
731,SO - 000832,41875,42,Wholesale,USD,GUT930,41,9,10,2010.0,20100.0,884.4
732,SO - 000833,41875,161,Wholesale,USD,AXW291,16,1,11,1145.7,12602.7,687.42
733,SO - 000834,41875,67,Wholesale,USD,GUT930,46,13,6,3618.0,21708.0,1447.2
734,SO - 000835,41875,73,Wholesale,USD,GUT930,39,8,9,3551.0,31959.0,2982.84
735,SO - 000836,41875,42,Distributor,USD,GUT930,40,9,5,944.7,4723.5,736.866
736,SO - 000837,41875,72,Export,USD,AXW291,6,6,9,174.2,1567.8,74.906
737,SO - 000838,41875,122,Distributor,USD,AXW291,3,3,8,1809.0,14472.0,1465.29
738,SO - 000839,41876,65,Wholesale,USD,AXW291,11,11,5,3993.2,19966.0,1876.804
739,SO - 000840,41876,159,Wholesale,USD,AXW291,17,4,6,1005.0,6030.0,793.95
740,SO - 000841,41876,9,Wholesale,USD,AXW291,27,4,6,3819.0,22914.0,2176.83
741,SO - 000842,41876,13,Wholesale,USD,GUT930,39,5,12,2251.2,27014.4,968.016
742,SO - 000843,41876,102,Wholesale,USD,AXW291,19,7,10,964.8,9648.0,665.712
743,SO - 000844,41876,86,Wholesale,USD,NXH382,56,12,11,1018.4,11202.4,733.248
744,SO - 000845,41877,160,Export,USD,NXH382,60,2,8,261.3,2090.4,117.585
745,SO - 000846,41877,150,Wholesale,USD,GUT930,35,7,7,2887.7,20213.9,1530.481
746,SO - 000847,41877,60,Distributor,USD,AXW291,26,13,9,1098.8,9889.2,857.064
747,SO - 000848,41877,28,Wholesale,USD,AXW291,1,9,9,2217.7,19959.3,1596.744
748,SO - 000849,41877,56,Wholesale,USD,AXW291,17,12,8,254.6,2036.8,165.49
749,SO - 000850,41877,119,Distributor,USD,AXW291,11,5,12,2432.1,29185.2,2018.643
750,SO - 000851,41877,6,Wholesale,USD,GUT930,43,2,12,2499.1,29989.2,1624.415
751,SO - 000852,41877,146,Wholesale,USD,FLR025,65,10,6,3564.4,21386.4,1497.048
752,SO - 000853,41877,53,Wholesale,USD,AXW291,21,8,7,2532.6,17728.2,1595.538
753,SO - 000854,41878,167,Wholesale,USD,AXW291,16,11,6,1768.8,10612.8,1043.592
754,SO - 000855,41878,133,Distributor,USD,NXH382,58,6,7,2445.5,17118.5,1222.75
755,SO - 000856,41878,46,Wholesale,USD,AXW291,9,10,10,5855.8,58558.0,4567.524
756,SO - 000857,41878,78,Wholesale,USD,GUT930,38,3,8,3979.8,31838.4,3223.638
757,SO - 000858,41878,94,Distributor,USD,GUT930,41,14,6,964.8,5788.8,443.808
758,SO - 000859,41879,43,Wholesale,USD,GUT930,41,6,7,247.9,1735.3,158.656
759,SO - 000860,41879,60,Distributor,USD,GUT930,46,13,10,3189.2,31892.0,2264.332
760,SO - 000861,41879,146,Wholesale,USD,NXH382,57,3,7,5339.9,37379.3,2830.147
761,SO - 000862,41879,125,Wholesale,USD,AXW291,7,8,11,1139.0,12529.0,717.57
762,SO - 000863,41879,168,Distributor,USD,AXW291,27,1,7,207.7,1453.9,91.388
763,SO - 000864,41879,127,Export,USD,NXH382,55,12,6,2345.0,14070.0,1242.85
764,SO - 000865,41879,62,Wholesale,USD,AXW291,18,13,11,2432.1,26753.1,1824.075
765,SO - 000866,41879,67,Distributor,USD,GUT930,45,5,12,1112.2,13346.4,578.344
766,SO - 000867,41879,92,Distributor,USD,AXW291,27,7,12,1098.8,13185.6,670.268
767,SO - 000868,41879,108,Wholesale,USD,NXH382,56,8,10,1159.1,11591.0,741.824
768,SO - 000869,41879,37,Wholesale,USD,AXW291,29,1,6,2666.6,15999.6,1253.302
769,SO - 000870,41879,88,Wholesale,USD,NXH382,56,10,7,2834.1,19838.7,1190.322
770,SO - 000871,41879,59,Wholesale,USD,AXW291,15,15,8,3953.0,31624.0,2450.86
771,SO - 000872,41879,150,Distributor,USD,NXH382,49,2,6,1762.1,10572.6,1127.744
772,SO - 000873,41880,117,Export,USD,NXH382,60,12,11,2592.9,28521.9,1400.166
773,SO - 000874,41880,145,Wholesale,USD,AXW291,15,1,12,2505.8,30069.6,1378.19
774,SO - 000875,41880,86,Wholesale,USD,FLR025,65,15,5,194.3,971.5,137.953
775,SO - 000876,41880,46,Wholesale,USD,FLR025,64,15,9,5822.3,52400.7,2852.927
776,SO - 000877,41881,17,Distributor,USD,NXH382,58,11,12,1815.7,21788.4,1434.403
777,SO - 000878,41881,145,Wholesale,USD,GUT930,35,11,9,3906.1,35154.9,2148.355
778,SO - 000879,41881,154,Wholesale,USD,GUT930,43,3,11,3926.2,43188.2,1766.79
779,SO - 000880,41881,36,Wholesale,USD,AXW291,31,3,9,6123.8,55114.2,4960.278
780,SO - 000881,41881,39,Export,USD,AXW291,11,15,12,1132.3,13587.6,962.455
781,SO - 000882,41881,157,Export,USD,GUT930,43,11,10,3859.2,38592.0,2315.52
782,SO - 000883,41881,107,Distributor,USD,GUT930,41,14,6,797.3,4783.8,454.461
783,SO - 000884,41881,73,Distributor,USD,NXH382,57,2,9,5380.1,48420.9,3174.259
784,SO - 000885,41882,109,Wholesale,USD,AXW291,25,3,12,3986.5,47838.0,2870.28
785,SO - 000886,41882,146,Distributor,USD,AXW291,4,5,10,1219.4,12194.0,951.132
786,SO - 000887,41882,112,Distributor,USD,GUT930,34,1,7,1681.7,11771.9,1345.36
787,SO - 000888,41882,16,Wholesale,USD,AXW291,4,5,11,174.2,1916.2,80.132
788,SO - 000889,41882,94,Wholesale,USD,AXW291,25,14,10,3865.9,38659.0,1739.655
789,SO - 000890,41882,87,Wholesale,USD,AXW291,30,4,10,5132.2,51322.0,2514.778
790,SO - 000891,41882,117,Export,USD,AXW291,20,11,6,1829.1,10974.6,987.714
791,SO - 000892,41882,37,Wholesale,USD,FLR025,64,13,11,3162.4,34786.4,2023.936
792,SO - 000893,41882,149,Distributor,USD,AXW291,1,2,11,6103.7,67140.7,2746.665
793,SO - 000894,41882,141,Distributor,USD,GUT930,43,13,10,750.4,7504.0,600.32
794,SO - 000895,41883,46,Distributor,USD,GUT930,41,13,10,167.5,1675.0,100.5
795,SO - 000896,41883,19,Wholesale,USD,GUT930,36,4,5,2653.2,13266.0,2069.496
796,SO - 000897,41883,63,Distributor,USD,AXW291,2,2,11,3008.3,33091.3,1594.399
797,SO - 000898,41883,160,Distributor,USD,NXH382,48,10,5,690.1,3450.5,338.149
798,SO - 000899,41883,47,Distributor,USD,AXW291,21,2,10,1031.8,10318.0,474.628
799,SO - 000900,41883,55,Wholesale,USD,FLR025,65,10,7,884.4,6190.8,371.448
800,SO - 000901,41884,53,Distributor,USD,AXW291,20,7,8,1118.9,8951.2,469.938
801,SO - 000902,41884,119,Wholesale,USD,AXW291,25,15,10,2338.3,23383.0,958.703
802,SO - 000903,41884,79,Wholesale,USD,AXW291,22,3,12,810.7,9728.4,551.276
803,SO - 000904,41884,107,Wholesale,USD,AXW291,24,5,5,3932.9,19664.5,1651.818
804,SO - 000905,41884,21,Distributor,USD,AXW291,16,10,12,844.2,10130.4,337.68
805,SO - 000906,41884,60,Distributor,USD,GUT930,40,4,8,180.9,1447.2,119.394
806,SO - 000907,41884,64,Wholesale,USD,NXH382,47,5,6,2365.1,14190.6,1986.684
807,SO - 000908,41884,69,Wholesale,USD,AXW291,18,2,11,2358.4,25942.4,1084.864
808,SO - 000909,41885,80,Wholesale,USD,GUT930,38,1,7,1748.7,12240.9,1171.629
809,SO - 000910,41885,90,Export,USD,GUT930,39,15,9,1822.4,16401.6,1202.784
810,SO - 000911,41885,90,Wholesale,USD,FLR025,66,12,11,824.1,9065.1,684.003
811,SO - 000912,41885,38,Wholesale,USD,FLR025,62,7,6,1882.7,11296.2,1317.89
812,SO - 000913,41885,80,Distributor,USD,AXW291,17,7,11,3819.0,42009.0,1565.79
813,SO - 000914,41885,62,Wholesale,USD,NXH382,54,7,10,1085.4,10854.0,672.948
814,SO - 000915,41885,127,Wholesale,USD,NXH382,51,13,9,1072.0,9648.0,857.6
815,SO - 000916,41885,112,Wholesale,USD,AXW291,27,7,7,1051.9,7363.3,441.798
816,SO - 000917,41886,44,Export,USD,GUT930,42,11,12,1025.1,12301.2,584.307
817,SO - 000918,41886,5,Distributor,USD,GUT930,33,6,10,2231.1,22311.0,1026.306
818,SO - 000919,41886,142,Export,USD,GUT930,33,6,5,261.3,1306.5,117.585
819,SO - 000920,41887,54,Distributor,USD,AXW291,9,4,9,3524.2,31717.8,2960.328
820,SO - 000921,41887,127,Export,USD,FLR025,64,4,7,3819.0,26733.0,3207.96
821,SO - 000922,41887,73,Distributor,USD,AXW291,12,2,5,3879.3,19396.5,2560.338
822,SO - 000923,41887,77,Wholesale,USD,GUT930,39,12,10,227.8,2278.0,132.124
823,SO - 000924,41887,46,Wholesale,USD,GUT930,45,13,7,1145.7,8019.9,847.818
824,SO - 000925,41887,98,Wholesale,USD,AXW291,8,5,6,2579.5,15477.0,1134.98
825,SO - 000926,41887,12,Distributor,USD,GUT930,43,7,12,1105.5,13266.0,464.31
826,SO - 000927,41887,52,Distributor,USD,NXH382,49,15,6,1762.1,10572.6,1215.849
827,SO - 000928,41887,95,Wholesale,USD,NXH382,52,11,11,1989.9,21888.9,935.253
828,SO - 000929,41888,81,Export,USD,AXW291,29,8,9,261.3,2351.7,198.588
829,SO - 000930,41888,69,Export,USD,AXW291,6,13,12,1072.0,12864.0,675.36
830,SO - 000931,41888,78,Distributor,USD,GUT930,33,6,5,1058.6,5293.0,899.81
831,SO - 000932,41888,172,Export,USD,GUT930,38,3,9,247.9,2231.1,131.387
832,SO - 000933,41888,126,Wholesale,USD,AXW291,4,14,10,2659.9,26599.0,1117.158
833,SO - 000934,41888,22,Distributor,USD,AXW291,28,8,9,1031.8,9286.2,866.712
834,SO - 000935,41888,174,Distributor,USD,AXW291,8,12,6,2546.0,15276.0,1120.24
835,SO - 000936,41888,57,Distributor,USD,AXW291,10,10,6,857.6,5145.6,660.352
836,SO - 000937,41889,162,Distributor,USD,AXW291,21,6,7,3946.3,27624.1,1973.15
837,SO - 000938,41889,4,Distributor,USD,FLR025,66,15,6,4006.6,24039.6,2484.092
838,SO - 000939,41889,173,Wholesale,USD,GUT930,40,6,11,1132.3,12455.3,758.641
839,SO - 000940,41889,93,Wholesale,USD,AXW291,19,5,8,897.8,7182.4,511.746
840,SO - 000941,41889,5,Wholesale,USD,AXW291,28,4,10,3939.6,39396.0,2678.928
841,SO - 000942,41889,145,Distributor,USD,GUT930,32,12,9,1031.8,9286.2,515.9
842,SO - 000943,41889,91,Export,USD,AXW291,5,14,7,6251.1,43757.7,4938.369
843,SO - 000944,41889,62,Wholesale,USD,AXW291,31,2,12,3819.0,45828.0,2176.83
844,SO - 000945,41889,99,Wholesale,USD,AXW291,29,14,12,5480.6,65767.2,3233.554
845,SO - 000946,41890,80,Distributor,USD,FLR025,63,10,7,1045.2,7316.4,752.544
846,SO - 000947,41890,27,Wholesale,USD,AXW291,19,14,11,2298.1,25279.1,988.183
847,SO - 000948,41890,30,Wholesale,USD,AXW291,12,12,7,924.6,6472.2,730.434
848,SO - 000949,41890,38,Distributor,USD,GUT930,34,5,8,2974.8,23798.4,2231.1
849,SO - 000950,41890,79,Distributor,USD,AXW291,23,9,7,830.8,5815.6,515.096
850,SO - 000951,41890,96,Export,USD,GUT930,34,13,6,1051.9,6311.4,641.659
851,SO - 000952,41890,12,Export,USD,AXW291,27,3,7,1031.8,7222.6,763.532
852,SO - 000953,41890,95,Export,USD,AXW291,18,12,7,1775.5,12428.5,905.505
853,SO - 000954,41891,125,Wholesale,USD,AXW291,5,7,5,1809.0,9045.0,1465.29
854,SO - 000955,41891,62,Wholesale,USD,GUT930,43,9,11,1005.0,11055.0,763.8
855,SO - 000956,41891,28,Export,USD,AXW291,25,2,6,167.5,1005.0,85.425
856,SO - 000957,41891,174,Distributor,USD,GUT930,37,1,12,1098.8,13185.6,681.256
857,SO - 000958,41891,72,Wholesale,USD,NXH382,59,13,10,187.6,1876.0,91.924
858,SO - 000959,41891,60,Wholesale,USD,AXW291,28,15,8,1065.3,8522.4,511.344
859,SO - 000960,41891,31,Distributor,USD,GUT930,40,1,11,1179.2,12971.2,813.648
860,SO - 000961,41892,36,Wholesale,USD,AXW291,26,10,12,1045.2,12542.4,418.08
861,SO - 000962,41892,38,Wholesale,USD,AXW291,4,15,9,837.5,7537.5,644.875
862,SO - 000963,41892,144,Wholesale,USD,AXW291,8,2,12,1172.5,14070.0,480.725
863,SO - 000964,41892,50,Wholesale,USD,AXW291,10,6,10,268.0,2680.0,123.28
864,SO - 000965,41892,87,Distributor,USD,AXW291,10,8,5,1085.4,5427.0,640.386
865,SO - 000966,41892,132,Wholesale,USD,NXH382,51,14,5,3115.5,15577.5,1246.2
866,SO - 000967,41893,44,Wholesale,USD,AXW291,18,3,8,2412.0,19296.0,1447.2
867,SO - 000968,41893,29,Export,USD,AXW291,10,13,5,3926.2,19631.0,1923.838
868,SO - 000969,41893,110,Wholesale,USD,AXW291,3,10,12,2284.7,27416.4,1713.525
869,SO - 000970,41893,49,Export,USD,GUT930,46,4,10,783.9,7839.0,556.569
870,SO - 000971,41893,23,Wholesale,USD,NXH382,56,1,5,871.0,4355.0,557.44
871,SO - 000972,41893,61,Distributor,USD,GUT930,35,14,7,1051.9,7363.3,831.001
872,SO - 000973,41893,146,Distributor,USD,NXH382,53,8,8,1219.4,9755.2,609.7
873,SO - 000974,41893,118,Wholesale,USD,FLR025,65,11,10,877.7,8777.0,509.066
874,SO - 000975,41893,32,Export,USD,GUT930,35,1,10,261.3,2613.0,151.554
875,SO - 000976,41894,136,Distributor,USD,AXW291,5,1,12,5172.4,62068.8,3155.164
876,SO - 000977,41894,13,Wholesale,USD,GUT930,42,15,12,2237.8,26853.6,1834.996
877,SO - 000978,41894,106,Wholesale,USD,AXW291,22,4,8,180.9,1447.2,135.675
878,SO - 000979,41894,119,Distributor,USD,AXW291,19,14,6,1876.0,11256.0,1594.6
879,SO - 000980,41894,115,Wholesale,USD,GUT930,46,7,7,5815.6,40709.2,4303.544
880,SO - 000981,41894,98,Wholesale,USD,AXW291,27,3,10,1922.9,19229.0,903.763
881,SO - 000982,41894,2,Wholesale,USD,AXW291,26,5,9,1051.9,9467.1,441.798
882,SO - 000983,41894,24,Wholesale,USD,AXW291,14,12,7,5996.5,41975.5,3597.9
883,SO - 000984,41894,91,Wholesale,USD,NXH382,58,13,8,1172.5,9380.0,926.275
884,SO - 000985,41894,90,Distributor,USD,AXW291,10,4,6,207.7,1246.2,153.698
885,SO - 000986,41894,137,Wholesale,USD,AXW291,27,6,6,1085.4,6512.4,868.32
886,SO - 000987,41894,31,Distributor,USD,GUT930,41,14,9,964.8,8683.2,627.12
887,SO - 000988,41894,97,Distributor,USD,GUT930,37,13,8,3832.4,30659.2,3142.568
888,SO - 000989,41895,32,Distributor,USD,NXH382,49,7,6,1125.6,6753.6,754.152
889,SO - 000990,41895,129,Wholesale,USD,AXW291,9,9,5,1065.3,5326.5,649.833
890,SO - 000991,41895,121,Distributor,USD,AXW291,22,3,11,6197.5,68172.5,4214.3
891,SO - 000992,41895,31,Export,USD,AXW291,1,15,7,3912.8,27389.6,2778.088
892,SO - 000993,41895,20,Wholesale,USD,NXH382,52,4,9,247.9,2231.1,185.925
893,SO - 000994,41895,139,Distributor,USD,FLR025,61,1,7,1038.5,7269.5,789.26
894,SO - 000995,41895,33,Wholesale,USD,AXW291,20,5,7,1098.8,7691.6,604.34
895,SO - 000996,41895,153,Distributor,USD,AXW291,15,10,6,1273.0,7638.0,814.72
896,SO - 000997,41895,116,Distributor,USD,FLR025,63,6,11,268.0,2948.0,160.8
897,SO - 000998,41896,81,Wholesale,USD,AXW291,13,10,9,3852.5,34672.5,2157.4
898,SO - 000999,41896,86,Export,USD,AXW291,28,12,9,1876.0,16884.0,900.48
899,SO - 0001000,41896,49,Wholesale,USD,AXW291,24,11,5,1286.4,6432.0,887.616
900,SO - 0001001,41896,132,Export,USD,AXW291,22,3,8,174.2,1393.6,101.036
901,SO - 0001002,41896,91,Distributor,USD,FLR025,65,1,11,5259.5,57854.5,4102.41
902,SO - 0001003,41896,103,Distributor,USD,GUT930,39,4,5,6512.4,32562.0,5144.796
903,SO - 0001004,41896,85,Wholesale,USD,GUT930,35,3,8,1701.8,13614.4,1021.08
904,SO - 0001005,41896,160,Wholesale,USD,AXW291,9,15,12,3832.4,45988.8,2682.68
905,SO - 0001006,41896,167,Distributor,USD,NXH382,60,3,12,1775.5,21306.0,923.26
906,SO - 0001007,41896,136,Distributor,USD,AXW291,3,10,8,1922.9,15383.2,865.305
907,SO - 0001008,41896,112,Distributor,USD,NXH382,53,14,12,891.1,10693.2,490.105
908,SO - 0001009,41897,90,Wholesale,USD,NXH382,48,5,10,3289.7,32897.0,1875.129
909,SO - 0001010,41897,37,Wholesale,USD,AXW291,17,4,9,1078.7,9708.3,593.285
910,SO - 0001011,41897,14,Distributor,USD,FLR025,63,12,10,3886.0,38860.0,2720.2
911,SO - 0001012,41897,133,Distributor,USD,GUT930,31,12,8,1681.7,13453.6,1143.556
912,SO - 0001013,41897,53,Wholesale,USD,NXH382,48,6,6,1065.3,6391.8,852.24
913,SO - 0001014,41897,106,Wholesale,USD,AXW291,27,3,11,3912.8,43040.8,3286.752
914,SO - 0001015,41897,150,Wholesale,USD,AXW291,16,9,12,3819.0,45828.0,2520.54
915,SO - 0001016,41897,145,Distributor,USD,GUT930,40,2,7,1025.1,7175.7,758.574
916,SO - 0001017,41897,30,Wholesale,USD,GUT930,37,5,12,3202.6,38431.2,1601.3
917,SO - 0001018,41897,7,Distributor,USD,AXW291,31,13,6,5306.4,31838.4,2440.944
918,SO - 0001019,41897,124,Distributor,USD,GUT930,43,11,5,1849.2,9246.0,1331.424
919,SO - 0001020,41897,18,Distributor,USD,NXH382,51,7,10,194.3,1943.0,137.953
920,SO - 0001021,41897,28,Wholesale,USD,AXW291,5,9,6,1051.9,6311.4,757.368
921,SO - 0001022,41897,167,Export,USD,AXW291,11,4,7,1809.0,12663.0,1537.65
922,SO - 0001023,41898,107,Distributor,USD,AXW291,7,1,5,214.4,1072.0,130.784
923,SO - 0001024,41898,121,Wholesale,USD,AXW291,4,4,12,3530.9,42370.8,2577.557
